userid,curr_user_nodes,curr_user_num_paths,curr_user_sum_depth,curr_user_undo,curr_user_restart
a0a4f4ea,30,8,30,0,7
85e50169,24,19,74,18,1
81a6c621,29,1,29,0,1
9ea4fe94,11,1,11,0,0
bca124ea,7,1,7,0,1
4de4f27d,45,9,45,0,8
4cb73467,67,11,67,0,11
f8e11654,42,8,42,0,8
4cffe209,43,11,43,0,10
53d72c88,1,1,1,0,1
b0d5043d,33,15,60,12,2
e3a4effd,43,10,43,0,9
40f6b779,1,1,1,0,1
e5b69f84,7,1,7,0,1
c6c100be,74,68,276,67,1
ded705a5,0,0,0,0,0
a7b511d6,98,33,157,18,14
39b67ab6,11,3,23,2,0
34d51755,7,1,7,0,0
54d4fd9d,94,22,104,4,18
54f6b927,25,3,25,0,3
18c75602,32,22,86,19,3
93c70cc1,18,2,18,0,2
81a10227,27,4,27,0,4
e0a10efa,8,3,8,0,3
eaaff660,15,1,15,0,0
a5e116c5,9,2,9,0,1
