userid,curr_user_nodes,curr_user_num_paths,curr_user_sum_depth,curr_user_undo,curr_user_restart
6dd103e2,31,9,43,3,5
6bb10472,7,1,7,0,1
13e4f569,0,0,0,0,0
65afea1f,7,1,7,0,0
b0e1157c,16,5,20,1,3
30e4feac,18,5,18,0,4
81c11c9f,15,2,15,0,2
b9e512db,20,4,20,0,3
2ff50f64,6,3,6,0,2
fcaffad4,68,13,92,8,4
5dbfe29c,13,7,28,6,0
7dd704e0,93,18,93,0,18
5adff9a5,22,9,22,0,8
eba732b3,1,1,1,0,1
e1e500d7,7,1,7,0,1
daefd33a,5,1,5,0,0
92a74a76,35,6,35,0,6
74e11ee8,1,1,1,0,1
16d516ad,7,1,7,0,0
25cfdeaf,15,4,16,2,1
e0a737b6,5,1,5,0,0
c7fffe38,27,5,27,0,4
a0f4f1bf,44,20,108,14,6
