userid,curr_user_nodes,curr_user_num_paths,curr_user_sum_depth,curr_user_undo,curr_user_restart
34cffc40,25,8,25,0,8
40a74de0,32,8,32,0,8
f9c123d7,25,6,25,0,6
3acff9fa,6,2,6,1,0
cfd6ff5a,90,24,129,9,14
25dfef96,21,10,31,6,4
fda4f169,14,5,14,0,5
2bcfe659,65,59,174,58,0
9defd82d,42,14,62,7,6
86f6e2cb,134,27,151,5,21
efa7383d,38,9,38,0,9
b3e4f78d,8,2,8,0,1
d3b525de,53,31,106,26,4
5acfeabc,7,1,7,0,1
59d51c4c,35,10,36,2,7
32b10037,71,24,99,8,16
4ed755f1,8,5,10,3,2
5de11557,47,12,47,0,12
b8a11f60,3,2,3,0,1
d6b67ee1,26,7,30,3,4
8df4f6e8,36,9,36,0,9
9bf4f2c6,1,1,1,0,0
d6d500ab,21,6,21,0,5
a6bff327,30,10,35,4,5
3fcbc0ab,50,13,50,0,12
38abe966,16,3,16,0,2
aedbea55,20,7,21,2,4
2aabe76a,25,12,56,8,3
3bac0799,8,2,8,0,1
b4abeb7e,7,1,7,0,0
dabbe6bb,41,12,59,5,6
b7eae04f,36,19,53,13,5
